start_station_name,member_casual,number_of_rides,average_duration
Central Ave & Madison St,casual,81,61.82160493827159
Central Ave & Madison St,member,136,36.93259803921569
Central Ave & Parker Ave,casual,29,24.06551724137931
Central Ave & Parker Ave,member,4,12.775000000000025
Central Ave & Roscoe St,casual,22,26.14924242424243
Central Ave & Roscoe St,member,22,14.736363636363638
Central Park & Augusta Blvd,casual,6,12.833333333333334
Central Park & Augusta Blvd,member,6,87.83888888888893
Central Park Ave & 24th St,casual,113,33.719469026548666
Central Park Ave & 24th St,member,29,22.276436781609195
Central Park Ave & Bloomingdale Ave,casual,1731,44.0135085692278
Central Park Ave & Bloomingdale Ave,member,1232,17.651948051948054
Central Park Ave & Douglas Blvd,casual,47,27.343971631205665
Central Park Ave & Douglas Blvd,member,1,28.2333333333333
Central Park Ave & Elbridge Ave,casual,815,26.97834355828221
Central Park Ave & Elbridge Ave,member,942,19.24727530077848
Central Park Ave & North Ave,casual,723,41.55507146150299
Central Park Ave & North Ave,member,284,20.88362676056338
Central Park Ave & Ogden Ave,casual,302,24.07930463576159
Central Park Ave & Ogden Ave,member,209,19.159489633173845
Central Park Ave & Ohio St,casual,11,34.41818181818183
Central Park Blvd & 5th Ave,casual,149,83.63668903803134
Central Park Blvd & 5th Ave,member,93,22.94462365591398
Central St & Girard Ave,casual,534,31.91267166042447
Central St & Girard Ave,member,537,17.404872749844817
Central St Metra,casual,563,33.27081113084666
Central St Metra,member,708,21.111158192090397
Cherry Ave & Blackhawk St,casual,591,20.43412295544276
Cherry Ave & Blackhawk St,member,1061,11.432312284008797
Chicago Ave & Sheridan Rd,casual,2440,42.98810792349727
Chicago Ave & Sheridan Rd,member,1667,15.993471305738852
Chicago Ave & Washington St,casual,1249,37.977421937550034
Chicago Ave & Washington St,member,2335,16.673854389721626
Chicago State University,casual,216,25.945293209876546
Chicago State University,member,204,20.73447712418301
Christiana Ave & Lawrence Ave,casual,578,33.607583621683965
Christiana Ave & Lawrence Ave,member,678,18.053490658800396
Cicero Ave & Flournoy St,casual,45,42.845555555555585
Cicero Ave & Flournoy St,member,33,16.960606060606054
Cicero Ave & Grace St,casual,9,24.720370370370375
Cicero Ave & Grace St,member,7,26.01428571428574
Cicero Ave & Lake St,casual,120,55.678055555555574
Cicero Ave & Lake St,member,20,47.070000000000014
Cicero Ave & Quincy St,casual,68,92.44044117647051
Cicero Ave & Quincy St,member,7,21.12619047619048
Cityfront Plaza Dr & Pioneer Ct,casual,6535,32.980306044376434
Cityfront Plaza Dr & Pioneer Ct,member,6837,13.17434791087709
Claremont Ave & Hirsch St,casual,1152,19.47712673611111
Claremont Ave & Hirsch St,member,1271,13.429792814057173
Clarendon Ave & Gordon Ter,casual,4516,24.079650132860937
Clarendon Ave & Gordon Ter,member,8115,13.688589032655576
Clarendon Ave & Junior Ter,casual,4502,25.94122982378202
Clarendon Ave & Junior Ter,member,7043,15.251999621373468
Clarendon Ave & Leland Ave,casual,2817,31.748142231688558
Clarendon Ave & Leland Ave,member,3823,14.100605981341007
Clark St & 9th St (AMLI),casual,2792,27.207276743075454
Clark St & 9th St (AMLI),member,3724,12.119047619047619
Clark St & Armitage Ave,casual,15259,25.456470498285164
Clark St & Armitage Ave,member,15816,13.1275354071826
Clark St & Berwyn Ave,casual,4195,25.20065951529599
Clark St & Berwyn Ave,member,5387,13.87607821298187
Clark St & Bryn Mawr Ave,casual,2375,23.793263157894735
Clark St & Bryn Mawr Ave,member,4313,15.48740629105804
Clark St & Chicago Ave,casual,6255,21.60757793764988
Clark St & Chicago Ave,member,8229,11.511587070117876
Clark St & Columbia Ave,casual,640,23.730364583333333
Clark St & Columbia Ave,member,1431,11.705369205683672
Clark St & Drummond Pl,casual,9903,20.807129152781986
Clark St & Drummond Pl,member,12832,12.575835151704073
Clark St & Elm St,casual,15471,20.896114235235817
Clark St & Elm St,member,23571,12.304986353287232
Clark St & Elmdale Ave,casual,1027,34.76176566049983
Clark St & Elmdale Ave,member,2084,15.086884197056941
Clark St & Grace St,casual,8638,20.17389634946361
Clark St & Grace St,member,7749,12.737639265281542
Clark St & Ida B Wells Dr,casual,1913,35.71374803972818
Clark St & Ida B Wells Dr,member,3322,13.65252358017259
Clark St & Jarvis Ave,casual,294,25.99393424036281
Clark St & Jarvis Ave,member,738,10.218157181571815
Clark St & Lake St,casual,6613,27.586100609909774
Clark St & Lake St,member,9177,11.928644073952999
Clark St & Leland Ave,casual,3400,21.389617647058824
Clark St & Leland Ave,member,5532,13.577783803326103
Clark St & Lincoln Ave,casual,16131,24.4287489926229
Clark St & Lincoln Ave,member,15499,13.304334688259457
Clark St & Lunt Ave,casual,791,23.46725663716814
Clark St & Lunt Ave,member,1555,12.250739549839228
Clark St & Montrose Ave,casual,2170,22.295760368663593
Clark St & Montrose Ave,member,3824,12.957609832635983
Clark St & Newport St,casual,11968,21.55288407976827
Clark St & Newport St,member,9677,13.101040267300471
Clark St & North Ave,casual,7025,28.191340450771058
Clark St & North Ave,member,6453,14.370930833204195
Clark St & Randolph St,casual,5588,26.324991052254834
Clark St & Randolph St,member,9720,12.76428840877915
Clark St & Schiller St,casual,8840,22.576772247360484
Clark St & Schiller St,member,12871,12.634254007717608
Clark St & Schreiber Ave,casual,942,26.31725053078556
Clark St & Schreiber Ave,member,1639,15.293268252999798
Clark St & Touhy Ave,casual,288,28.534201388888903
Clark St & Touhy Ave,member,591,14.174252679075014
Clark St & Wellington Ave,casual,7758,19.986865171435937
Clark St & Wellington Ave,member,11110,12.747238223822382
Clark St & Winnemac Ave,casual,4594,26.585705993324627
Clark St & Winnemac Ave,member,7164,13.254690117252931
Clark St & Wrightwood Ave,casual,10370,20.045207328833172
Clark St & Wrightwood Ave,member,13544,13.391077229769639
Clifton Ave & Armitage Ave,casual,4084,18.627554684949395
